,trackName,artistName,id,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_href,uri,analysis_url
326,I'm Looking Through You - Remastered 2009,The Beatles,5E3BVY66TEDexFutOO5GeS,rock,0.00772,0.667,146387.0,0.498,0.0,1.0,0.0481,-11.027000000000001,1.0,0.0364,85.84299999999999,4.0,0.774,https://api.spotify.com/v1/tracks/5E3BVY66TEDexFutOO5GeS,spotify:track:5E3BVY66TEDexFutOO5GeS,https://api.spotify.com/v1/audio-analysis/5E3BVY66TEDexFutOO5GeS
327,Acquiesce - Remastered,Oasis,11JIdNpBagg6G0NHLDm2v2,rock,0.00974,0.204,267987.0,0.9279999999999999,0.000746,7.0,0.33399999999999996,-3.2739999999999996,1.0,0.0795,112.86399999999999,4.0,0.209,https://api.spotify.com/v1/tracks/11JIdNpBagg6G0NHLDm2v2,spotify:track:11JIdNpBagg6G0NHLDm2v2,https://api.spotify.com/v1/audio-analysis/11JIdNpBagg6G0NHLDm2v2
328,Outnumbered,Dermot Kennedy,6UjZ2Yx2g2a52XxiA8ONxZ,k-pop,0.247,0.614,245700.0,0.684,0.0,0.0,0.0976,-5.79,1.0,0.157,156.85,4.0,0.258,https://api.spotify.com/v1/tracks/6UjZ2Yx2g2a52XxiA8ONxZ,spotify:track:6UjZ2Yx2g2a52XxiA8ONxZ,https://api.spotify.com/v1/audio-analysis/6UjZ2Yx2g2a52XxiA8ONxZ
329,After Rain,Dermot Kennedy,5fQa04cwDF11Giq5N2tGdU,k-pop,0.505,0.48,294000.0,0.418,0.0041600000000000005,11.0,0.11,-9.622,0.0,0.0312,132.404,4.0,0.319,https://api.spotify.com/v1/tracks/5fQa04cwDF11Giq5N2tGdU,spotify:track:5fQa04cwDF11Giq5N2tGdU,https://api.spotify.com/v1/audio-analysis/5fQa04cwDF11Giq5N2tGdU
330,Rome,Dermot Kennedy,2ZwihAP8zB5XX1CmYIOBbF,k-pop,0.506,0.485,202347.0,0.541,0.0,8.0,0.113,-5.596,1.0,0.0481,103.006,4.0,0.13,https://api.spotify.com/v1/tracks/2ZwihAP8zB5XX1CmYIOBbF,spotify:track:2ZwihAP8zB5XX1CmYIOBbF,https://api.spotify.com/v1/audio-analysis/2ZwihAP8zB5XX1CmYIOBbF
331,Little By Little,Oasis,3tQFthLmtBuc0XPL2b8nnu,rock,0.028999999999999998,0.405,292867.0,0.63,0.00321,2.0,0.11699999999999999,-4.996,1.0,0.0277,145.91,4.0,0.136,https://api.spotify.com/v1/tracks/3tQFthLmtBuc0XPL2b8nnu,spotify:track:3tQFthLmtBuc0XPL2b8nnu,https://api.spotify.com/v1/audio-analysis/3tQFthLmtBuc0XPL2b8nnu
332,Power Over Me,Dermot Kennedy,4tViDtaHuSLnh7HVJTrKhs,k-pop,0.0518,0.319,206960.0,0.841,0.0,9.0,0.106,-4.232,0.0,0.147,173.868,3.0,0.483,https://api.spotify.com/v1/tracks/4tViDtaHuSLnh7HVJTrKhs,spotify:track:4tViDtaHuSLnh7HVJTrKhs,https://api.spotify.com/v1/audio-analysis/4tViDtaHuSLnh7HVJTrKhs
333,Boxes,Gavin James,0fz7chmZCjFLLwW8n1g1DZ,rock,0.36,0.7190000000000001,168402.0,0.493,0.0,8.0,0.0881,-7.459,1.0,0.0811,105.219,4.0,0.6970000000000001,https://api.spotify.com/v1/tracks/0fz7chmZCjFLLwW8n1g1DZ,spotify:track:0fz7chmZCjFLLwW8n1g1DZ,https://api.spotify.com/v1/audio-analysis/0fz7chmZCjFLLwW8n1g1DZ
334,Giants,Dermot Kennedy,43CHdbHYdcbUWP10UFKyZ7,k-pop,0.013999999999999999,0.5720000000000001,177173.0,0.833,5.7700000000000007e-05,8.0,0.129,-5.291,0.0,0.0754,158.10399999999998,4.0,0.588,https://api.spotify.com/v1/tracks/43CHdbHYdcbUWP10UFKyZ7,spotify:track:43CHdbHYdcbUWP10UFKyZ7,https://api.spotify.com/v1/audio-analysis/43CHdbHYdcbUWP10UFKyZ7
335,Girlfriend,Charlie Puth,1UNs8AlFM8c0uAkSyjIW3P,pop,0.18,0.758,177438.0,0.583,5.12e-05,1.0,0.107,-6.361000000000001,1.0,0.0421,97.537,4.0,0.797,https://api.spotify.com/v1/tracks/1UNs8AlFM8c0uAkSyjIW3P,spotify:track:1UNs8AlFM8c0uAkSyjIW3P,https://api.spotify.com/v1/audio-analysis/1UNs8AlFM8c0uAkSyjIW3P
336,Hypersonic Missiles,Sam Fender,6CltzquypraYIlWFp48m1O,rock,0.0008900000000000001,0.551,237987.0,0.8140000000000001,1.16e-06,4.0,0.18,-3.6830000000000003,1.0,0.0425,130.971,4.0,0.469,https://api.spotify.com/v1/tracks/6CltzquypraYIlWFp48m1O,spotify:track:6CltzquypraYIlWFp48m1O,https://api.spotify.com/v1/audio-analysis/6CltzquypraYIlWFp48m1O
337,Never Enough,One Direction,7rdP71W8x4UbJ0KAKBACbo,pop,0.0379,0.579,213440.0,0.779,0.0,4.0,0.385,-1.829,0.0,0.0512,164.145,3.0,0.5870000000000001,https://api.spotify.com/v1/tracks/7rdP71W8x4UbJ0KAKBACbo,spotify:track:7rdP71W8x4UbJ0KAKBACbo,https://api.spotify.com/v1/audio-analysis/7rdP71W8x4UbJ0KAKBACbo
341,Move To You,Jagwar Twin,1JzdiNLMAG72qaA3ofBjbi,pop,0.032,0.449,200509.0,0.629,1.27e-05,11.0,0.21,-7.061,0.0,0.0529,145.605,4.0,0.284,https://api.spotify.com/v1/tracks/1JzdiNLMAG72qaA3ofBjbi,spotify:track:1JzdiNLMAG72qaA3ofBjbi,https://api.spotify.com/v1/audio-analysis/1JzdiNLMAG72qaA3ofBjbi
345,Girls & Boys,Blur,5CeL9C3bsoe4yzYS1Qz8cw,rock,0.009859999999999999,0.693,259387.0,0.875,0.0,7.0,0.0601,-8.354,0.0,0.0315,120.04799999999999,4.0,0.899,https://api.spotify.com/v1/tracks/5CeL9C3bsoe4yzYS1Qz8cw,spotify:track:5CeL9C3bsoe4yzYS1Qz8cw,https://api.spotify.com/v1/audio-analysis/5CeL9C3bsoe4yzYS1Qz8cw
346,Crying Lightning,Arctic Monkeys,6wVWJl64yoTzU27EI8ep20,rock,0.0148,0.498,224827.0,0.885,0.00041,4.0,0.239,-4.423,0.0,0.0461,106.719,4.0,0.67,https://api.spotify.com/v1/tracks/6wVWJl64yoTzU27EI8ep20,spotify:track:6wVWJl64yoTzU27EI8ep20,https://api.spotify.com/v1/audio-analysis/6wVWJl64yoTzU27EI8ep20
347,Cocoon,Catfish and the Bottlemen,1B241LRKmK6qDDTZfUajmm,rock,0.000254,0.446,236887.0,0.91,9.76e-05,7.0,0.077,-4.481,0.0,0.0652,133.053,4.0,0.325,https://api.spotify.com/v1/tracks/1B241LRKmK6qDDTZfUajmm,spotify:track:1B241LRKmK6qDDTZfUajmm,https://api.spotify.com/v1/audio-analysis/1B241LRKmK6qDDTZfUajmm
348,Be Careful What You Wish For,Noel Gallagher's High Flying Birds,5jwOPdDOrVecEc6rCwBc9I,rock,0.207,0.531,340413.0,0.723,0.0123,7.0,0.099,-6.2589999999999995,1.0,0.0263,81.0,4.0,0.5,https://api.spotify.com/v1/tracks/5jwOPdDOrVecEc6rCwBc9I,spotify:track:5jwOPdDOrVecEc6rCwBc9I,https://api.spotify.com/v1/audio-analysis/5jwOPdDOrVecEc6rCwBc9I
349,Together Forever,Rick Astley,76QJgXPE3oc1cnkE4PFHEn,rock,0.0519,0.7020000000000001,205533.0,0.9329999999999999,0.000128,2.0,0.151,-11.876,1.0,0.0491,115.115,4.0,0.8959999999999999,https://api.spotify.com/v1/tracks/76QJgXPE3oc1cnkE4PFHEn,spotify:track:76QJgXPE3oc1cnkE4PFHEn,https://api.spotify.com/v1/audio-analysis/76QJgXPE3oc1cnkE4PFHEn
350,Never Gonna Give You Up,Rick Astley,4uLU6hMCjMI75M1A2tKUQC,rock,0.115,0.721,213573.0,0.9390000000000001,3.79e-05,8.0,0.10800000000000001,-11.823,1.0,0.0376,113.309,4.0,0.914,https://api.spotify.com/v1/tracks/4uLU6hMCjMI75M1A2tKUQC,spotify:track:4uLU6hMCjMI75M1A2tKUQC,https://api.spotify.com/v1/audio-analysis/4uLU6hMCjMI75M1A2tKUQC
351,Eleanor Rigby - Remastered 2009,The Beatles,5GjPQ0eI7AgmOnADn1EO6Q,rock,0.9359999999999999,0.581,126533.0,0.28,1.56e-05,4.0,0.305,-9.091000000000001,0.0,0.0381,137.83100000000002,4.0,0.813,https://api.spotify.com/v1/tracks/5GjPQ0eI7AgmOnADn1EO6Q,spotify:track:5GjPQ0eI7AgmOnADn1EO6Q,https://api.spotify.com/v1/audio-analysis/5GjPQ0eI7AgmOnADn1EO6Q
352,Cry To Me - Remastered 2002,The Rolling Stones,73PU7Mr8JSuiX0PTYTLQuP,rock,0.128,0.336,189013.0,0.642,0.237,2.0,0.17,-10.085,1.0,0.0422,182.06400000000002,3.0,0.5379999999999999,https://api.spotify.com/v1/tracks/73PU7Mr8JSuiX0PTYTLQuP,spotify:track:73PU7Mr8JSuiX0PTYTLQuP,https://api.spotify.com/v1/audio-analysis/73PU7Mr8JSuiX0PTYTLQuP
353,That's How Strong My Love Is - Remastered 2002,The Rolling Stones,0mxvBDxJNhrMEsfzAaegBJ,rock,0.00186,0.444,145227.0,0.58,0.0118,10.0,0.0813,-9.02,1.0,0.0278,96.48899999999999,3.0,0.52,https://api.spotify.com/v1/tracks/0mxvBDxJNhrMEsfzAaegBJ,spotify:track:0mxvBDxJNhrMEsfzAaegBJ,https://api.spotify.com/v1/audio-analysis/0mxvBDxJNhrMEsfzAaegBJ
354,Mercy Mercy - Remastered 2002,The Rolling Stones,1XYnzNHGG50lDNHVotRkyX,rock,0.006220000000000001,0.61,164707.0,0.7609999999999999,0.0318,9.0,0.0706,-9.217,1.0,0.0407,124.48,4.0,0.725,https://api.spotify.com/v1/tracks/1XYnzNHGG50lDNHVotRkyX,spotify:track:1XYnzNHGG50lDNHVotRkyX,https://api.spotify.com/v1/audio-analysis/1XYnzNHGG50lDNHVotRkyX
355,I Am the Walrus - Remastered Live Glasgow Cathouse June '94,Oasis,4xUxbG1o6P6EYnCDdznN2q,rock,5.11e-06,0.154,498333.0,0.975,0.741,4.0,0.41700000000000004,-3.738,1.0,0.135,106.566,4.0,0.0399,https://api.spotify.com/v1/tracks/4xUxbG1o6P6EYnCDdznN2q,spotify:track:4xUxbG1o6P6EYnCDdznN2q,https://api.spotify.com/v1/audio-analysis/4xUxbG1o6P6EYnCDdznN2q
356,Listen Up - Remastered,Oasis,2EBZb61ZIqhygr2tXfLpo5,rock,0.0208,0.217,402360.0,0.835,0.0741,9.0,0.379,-1.751,1.0,0.0628,98.76700000000001,4.0,0.381,https://api.spotify.com/v1/tracks/2EBZb61ZIqhygr2tXfLpo5,spotify:track:2EBZb61ZIqhygr2tXfLpo5,https://api.spotify.com/v1/audio-analysis/2EBZb61ZIqhygr2tXfLpo5
357,Cloudburst - Remastered,Oasis,5xHHZXaJf6x9cvvTHYci25,rock,2.85e-06,0.263,323147.0,0.8759999999999999,0.48100000000000004,9.0,0.18899999999999997,-5.483,1.0,0.0492,101.846,4.0,0.28800000000000003,https://api.spotify.com/v1/tracks/5xHHZXaJf6x9cvvTHYci25,spotify:track:5xHHZXaJf6x9cvvTHYci25,https://api.spotify.com/v1/audio-analysis/5xHHZXaJf6x9cvvTHYci25
358,Alive - Remastered Demo,Oasis,78mZtXDfQhdIlEvwboywHv,rock,7.29e-06,0.261,238227.0,0.9109999999999999,0.00418,4.0,0.14400000000000002,-4.515,1.0,0.0483,147.66,4.0,0.221,https://api.spotify.com/v1/tracks/78mZtXDfQhdIlEvwboywHv,spotify:track:78mZtXDfQhdIlEvwboywHv,https://api.spotify.com/v1/audio-analysis/78mZtXDfQhdIlEvwboywHv
359,I Will Believe - Remastered Live,Oasis,1CTD83CnEUt0QvQbGXu4qC,rock,0.000615,0.34700000000000003,228880.0,0.9790000000000001,1.38e-06,2.0,0.0872,-3.2939999999999996,1.0,0.0754,128.608,4.0,0.528,https://api.spotify.com/v1/tracks/1CTD83CnEUt0QvQbGXu4qC,spotify:track:1CTD83CnEUt0QvQbGXu4qC,https://api.spotify.com/v1/audio-analysis/1CTD83CnEUt0QvQbGXu4qC
360,Take Me Away - Remastered,Oasis,0qkTP1X9QxYPHV75zutmxi,rock,0.655,0.45399999999999996,272773.0,0.332,0.0,2.0,0.235,-10.886,1.0,0.0286,112.186,4.0,0.115,https://api.spotify.com/v1/tracks/0qkTP1X9QxYPHV75zutmxi,spotify:track:0qkTP1X9QxYPHV75zutmxi,https://api.spotify.com/v1/audio-analysis/0qkTP1X9QxYPHV75zutmxi
361,"Lily, Rosemary and the Jack of Hearts",Bob Dylan,4MKun9QQhoapVvhp2uxJif,rock,0.414,0.457,531160.0,0.665,0.0,2.0,0.0948,-13.722000000000001,1.0,0.0821,126.33,4.0,0.667,https://api.spotify.com/v1/tracks/4MKun9QQhoapVvhp2uxJif,spotify:track:4MKun9QQhoapVvhp2uxJif,https://api.spotify.com/v1/audio-analysis/4MKun9QQhoapVvhp2uxJif
362,Tangled up in Blue,Bob Dylan,6Vcwr9tb3ZLO63F8DL8cqu,rock,0.414,0.42100000000000004,341627.0,0.6609999999999999,1.16e-06,9.0,0.0962,-13.126,1.0,0.0433,100.965,4.0,0.5539999999999999,https://api.spotify.com/v1/tracks/6Vcwr9tb3ZLO63F8DL8cqu,spotify:track:6Vcwr9tb3ZLO63F8DL8cqu,https://api.spotify.com/v1/audio-analysis/6Vcwr9tb3ZLO63F8DL8cqu
363,Here's To The Nights,Ringo Starr,5Ct9fD9hFSJuyFEzUlRG6w,rock,0.32899999999999996,0.49,246886.0,0.5539999999999999,0.0,9.0,0.106,-6.185,1.0,0.0291,163.977,3.0,0.319,https://api.spotify.com/v1/tracks/5Ct9fD9hFSJuyFEzUlRG6w,spotify:track:5Ct9fD9hFSJuyFEzUlRG6w,https://api.spotify.com/v1/audio-analysis/5Ct9fD9hFSJuyFEzUlRG6w
364,Sign 'O' the Times,Prince,4Yenz5JZZOUiZSeyKY8bDz,rock,0.00843,0.701,302760.0,0.515,0.025,10.0,0.0772,-6.551,1.0,0.0988,197.768,4.0,0.5489999999999999,https://api.spotify.com/v1/tracks/4Yenz5JZZOUiZSeyKY8bDz,spotify:track:4Yenz5JZZOUiZSeyKY8bDz,https://api.spotify.com/v1/audio-analysis/4Yenz5JZZOUiZSeyKY8bDz
365,Purple Rain,Prince,54X78diSLoUDI3joC2bjMz,rock,0.0353,0.36700000000000005,520787.0,0.452,0.00228,10.0,0.6890000000000001,-10.422,1.0,0.0307,113.066,4.0,0.18899999999999997,https://api.spotify.com/v1/tracks/54X78diSLoUDI3joC2bjMz,spotify:track:54X78diSLoUDI3joC2bjMz,https://api.spotify.com/v1/audio-analysis/54X78diSLoUDI3joC2bjMz
366,Desolation Row,Bob Dylan,4n1ZGm3TxYmoYe1YR8cMus,rock,0.6729999999999999,0.43200000000000005,681400.0,0.605,0.0,4.0,0.129,-6.941,1.0,0.0306,109.227,4.0,0.647,https://api.spotify.com/v1/tracks/4n1ZGm3TxYmoYe1YR8cMus,spotify:track:4n1ZGm3TxYmoYe1YR8cMus,https://api.spotify.com/v1/audio-analysis/4n1ZGm3TxYmoYe1YR8cMus
367,Just Like Tom Thumb's Blues,Bob Dylan,0V1771LhL3tG36pb55EZAH,rock,0.7020000000000001,0.49700000000000005,327560.0,0.511,0.0,7.0,0.262,-8.318,1.0,0.0271,99.5,4.0,0.591,https://api.spotify.com/v1/tracks/0V1771LhL3tG36pb55EZAH,spotify:track:0V1771LhL3tG36pb55EZAH,https://api.spotify.com/v1/audio-analysis/0V1771LhL3tG36pb55EZAH
368,Highway 61 Revisited,Bob Dylan,6os5B6xjuke9YfBKH3tu1e,rock,0.475,0.49,205827.0,0.8079999999999999,0.0,10.0,0.23199999999999998,-6.725,1.0,0.0409,73.434,4.0,0.604,https://api.spotify.com/v1/tracks/6os5B6xjuke9YfBKH3tu1e,spotify:track:6os5B6xjuke9YfBKH3tu1e,https://api.spotify.com/v1/audio-analysis/6os5B6xjuke9YfBKH3tu1e
369,Queen Jane Approximately,Bob Dylan,0c2DAekH6ZEnHhf8dM1leK,rock,0.778,0.369,327467.0,0.691,1.39e-05,0.0,0.327,-6.234,1.0,0.0387,104.37100000000001,4.0,0.382,https://api.spotify.com/v1/tracks/0c2DAekH6ZEnHhf8dM1leK,spotify:track:0c2DAekH6ZEnHhf8dM1leK,https://api.spotify.com/v1/audio-analysis/0c2DAekH6ZEnHhf8dM1leK
370,Ballad of a Thin Man,Bob Dylan,0f5N14nB8xi0p3o4BlVvbx,rock,0.695,0.473,356707.0,0.574,0.0,11.0,0.509,-8.189,0.0,0.032,74.056,4.0,0.499,https://api.spotify.com/v1/tracks/0f5N14nB8xi0p3o4BlVvbx,spotify:track:0f5N14nB8xi0p3o4BlVvbx,https://api.spotify.com/v1/audio-analysis/0f5N14nB8xi0p3o4BlVvbx
371,From a Buick 6,Bob Dylan,6txGFpco4cfgG1sA1MxLCp,rock,0.7559999999999999,0.287,195693.0,0.72,3.41e-06,0.0,0.263,-6.231,1.0,0.0347,176.30200000000002,4.0,0.7090000000000001,https://api.spotify.com/v1/tracks/6txGFpco4cfgG1sA1MxLCp,spotify:track:6txGFpco4cfgG1sA1MxLCp,https://api.spotify.com/v1/audio-analysis/6txGFpco4cfgG1sA1MxLCp
372,"It Takes a Lot to Laugh, It Takes a Train to Cry",Bob Dylan,2yaf46YMxA5y6bzmWUKgXC,rock,0.772,0.493,245133.0,0.579,8.06e-05,8.0,0.0759,-7.742999999999999,1.0,0.0319,93.353,4.0,0.475,https://api.spotify.com/v1/tracks/2yaf46YMxA5y6bzmWUKgXC,spotify:track:2yaf46YMxA5y6bzmWUKgXC,https://api.spotify.com/v1/audio-analysis/2yaf46YMxA5y6bzmWUKgXC
373,Tombstone Blues,Bob Dylan,5JqsRFZYDtIK5Rgeuzd2Jv,rock,0.408,0.504,356227.0,0.8079999999999999,0.0,11.0,0.316,-7.25,1.0,0.0584,123.866,4.0,0.653,https://api.spotify.com/v1/tracks/5JqsRFZYDtIK5Rgeuzd2Jv,spotify:track:5JqsRFZYDtIK5Rgeuzd2Jv,https://api.spotify.com/v1/audio-analysis/5JqsRFZYDtIK5Rgeuzd2Jv
374,The Times They Are A-Changin',Bob Dylan,52vA3CYKZqZVdQnzRrdZt6,rock,0.887,0.389,192053.0,0.396,0.0,7.0,0.0828,-7.999,1.0,0.0332,171.86,3.0,0.585,https://api.spotify.com/v1/tracks/52vA3CYKZqZVdQnzRrdZt6,spotify:track:52vA3CYKZqZVdQnzRrdZt6,https://api.spotify.com/v1/audio-analysis/52vA3CYKZqZVdQnzRrdZt6
375,"Blessed Is the Name - Live at the Civic Auditorium, Santa Monica, CA - November 20, 1979",Bob Dylan,35vrh1Gul0zEq0kXkKRc69,rock,0.21899999999999997,0.584,258253.0,0.765,9.1e-06,4.0,0.8240000000000001,-12.242,1.0,0.0549,135.548,4.0,0.903,https://api.spotify.com/v1/tracks/35vrh1Gul0zEq0kXkKRc69,spotify:track:35vrh1Gul0zEq0kXkKRc69,https://api.spotify.com/v1/audio-analysis/35vrh1Gul0zEq0kXkKRc69
376,I Pity the Poor Immigrant - Take 4,Bob Dylan,2ywDBI08i9oDbrAplZ42CS,rock,0.627,0.633,152613.0,0.306,1.2e-06,2.0,0.0502,-12.078,1.0,0.0354,126.35,4.0,0.9259999999999999,https://api.spotify.com/v1/tracks/2ywDBI08i9oDbrAplZ42CS,spotify:track:2ywDBI08i9oDbrAplZ42CS,https://api.spotify.com/v1/audio-analysis/2ywDBI08i9oDbrAplZ42CS
377,"Boots of Spanish Leather - Live at Town Hall, New York, NY - April 1963",Bob Dylan,0pJzVdghXOaylTzg1UNVXF,rock,0.94,0.43700000000000006,284413.0,0.0259,1.91e-06,9.0,0.6920000000000001,-24.01,1.0,0.0389,95.531,4.0,0.428,https://api.spotify.com/v1/tracks/0pJzVdghXOaylTzg1UNVXF,spotify:track:0pJzVdghXOaylTzg1UNVXF,https://api.spotify.com/v1/audio-analysis/0pJzVdghXOaylTzg1UNVXF
378,1969 - 2019 Remaster,The Stooges,4bscUDqkO6soLEFXMr22ji,rock,0.000176,0.485,247840.0,0.8290000000000001,0.0229,2.0,0.17800000000000002,-5.251,1.0,0.0524,106.98,4.0,0.726,https://api.spotify.com/v1/tracks/4bscUDqkO6soLEFXMr22ji,spotify:track:4bscUDqkO6soLEFXMr22ji,https://api.spotify.com/v1/audio-analysis/4bscUDqkO6soLEFXMr22ji
379,Bonehead's Bank Holiday - Demo,Oasis,36PN713KNBW3Yg06q0iqm3,rock,0.7490000000000001,0.535,128707.0,0.672,0.0041600000000000005,7.0,0.182,-6.465,1.0,0.0261,88.33,4.0,0.625,https://api.spotify.com/v1/tracks/36PN713KNBW3Yg06q0iqm3,spotify:track:36PN713KNBW3Yg06q0iqm3,https://api.spotify.com/v1/audio-analysis/36PN713KNBW3Yg06q0iqm3
380,She's Leaving Home - Remix,The Beatles,3mjQT6aE0mvrffreC9OvWa,rock,0.879,0.37200000000000005,205840.0,0.32,0.0,0.0,0.10800000000000001,-9.724,1.0,0.0315,130.97,4.0,0.251,https://api.spotify.com/v1/tracks/3mjQT6aE0mvrffreC9OvWa,spotify:track:3mjQT6aE0mvrffreC9OvWa,https://api.spotify.com/v1/audio-analysis/3mjQT6aE0mvrffreC9OvWa
381,Run Of The Mill - Remastered 2014,George Harrison,3S574gsoQJl826YjsuRqSr,rock,0.0319,0.537,171693.0,0.639,0.00527,2.0,0.109,-7.901,1.0,0.0278,136.718,4.0,0.8059999999999999,https://api.spotify.com/v1/tracks/3S574gsoQJl826YjsuRqSr,spotify:track:3S574gsoQJl826YjsuRqSr,https://api.spotify.com/v1/audio-analysis/3S574gsoQJl826YjsuRqSr
382,Apple Scruffs - Remastered 2014,George Harrison,26sMc53X5ptxM2xgGBROzG,rock,0.332,0.44299999999999995,186893.0,0.303,5.8899999999999995e-05,4.0,0.10400000000000001,-12.093,1.0,0.0321,88.37299999999999,4.0,0.509,https://api.spotify.com/v1/tracks/26sMc53X5ptxM2xgGBROzG,spotify:track:26sMc53X5ptxM2xgGBROzG,https://api.spotify.com/v1/audio-analysis/26sMc53X5ptxM2xgGBROzG
383,Art Of Dying - Remastered 2014,George Harrison,7tMem33U649eRpq52kfbkw,rock,0.00125,0.5379999999999999,218800.0,0.9390000000000001,0.0022199999999999998,9.0,0.302,-7.187,1.0,0.0758,127.743,4.0,0.615,https://api.spotify.com/v1/tracks/7tMem33U649eRpq52kfbkw,spotify:track:7tMem33U649eRpq52kfbkw,https://api.spotify.com/v1/audio-analysis/7tMem33U649eRpq52kfbkw
384,I'd Have You Anytime - Remastered 2014,George Harrison,0wZuvGn7nZbKoyKOlwZQMF,rock,0.741,0.556,177427.0,0.345,0.0061,7.0,0.10300000000000001,-11.175999999999998,1.0,0.0264,139.53,4.0,0.245,https://api.spotify.com/v1/tracks/0wZuvGn7nZbKoyKOlwZQMF,spotify:track:0wZuvGn7nZbKoyKOlwZQMF,https://api.spotify.com/v1/audio-analysis/0wZuvGn7nZbKoyKOlwZQMF
385,"Paint It, Black",The Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8,rock,0.0493,0.46399999999999997,202267.0,0.795,0.00244,1.0,0.39899999999999997,-9.267000000000001,1.0,0.0926,158.691,4.0,0.612,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/audio-analysis/63T7DJ1AFDD6Bn8VzG6JE8
386,Headshrinker - Remastered,Oasis,6BXJWKcfPtSxUJ4FOvCxjp,rock,0.00323,0.231,281840.0,0.875,0.000339,7.0,0.368,-1.844,1.0,0.0559,79.483,4.0,0.275,https://api.spotify.com/v1/tracks/6BXJWKcfPtSxUJ4FOvCxjp,spotify:track:6BXJWKcfPtSxUJ4FOvCxjp,https://api.spotify.com/v1/audio-analysis/6BXJWKcfPtSxUJ4FOvCxjp
387,Fade Away - Remastered,Oasis,4Jr2kaZY9EKvaP04OzbpUk,rock,1.4999999999999999e-05,0.166,256853.0,0.593,0.0655,2.0,0.391,-3.467,1.0,0.0474,71.79,4.0,0.345,https://api.spotify.com/v1/tracks/4Jr2kaZY9EKvaP04OzbpUk,spotify:track:4Jr2kaZY9EKvaP04OzbpUk,https://api.spotify.com/v1/audio-analysis/4Jr2kaZY9EKvaP04OzbpUk
388,"City of Gold - Live Nov. 22, 1980",Bob Dylan,7Llh50BdodCQZezDJ9oRpG,rock,0.758,0.423,168187.0,0.22899999999999998,0.0,0.0,0.182,-15.71,1.0,0.0369,114.838,3.0,0.428,https://api.spotify.com/v1/tracks/7Llh50BdodCQZezDJ9oRpG,spotify:track:7Llh50BdodCQZezDJ9oRpG,https://api.spotify.com/v1/audio-analysis/7Llh50BdodCQZezDJ9oRpG
389,Can't Help Falling in Love,Elvis Presley,44AyOl4qVkzS48vBsbNXaC,rock,0.941,0.396,182360.0,0.293,0.000196,2.0,0.105,-14.062000000000001,1.0,0.0275,100.307,3.0,0.34299999999999997,https://api.spotify.com/v1/tracks/44AyOl4qVkzS48vBsbNXaC,spotify:track:44AyOl4qVkzS48vBsbNXaC,https://api.spotify.com/v1/audio-analysis/44AyOl4qVkzS48vBsbNXaC
390,Angel Child - Mustique Demo,Oasis,1N2pfaKuMhPN67nFcn01aR,rock,0.376,0.3,268373.0,0.397,5.18e-06,4.0,0.171,-12.687999999999999,0.0,0.0302,95.689,4.0,0.182,https://api.spotify.com/v1/tracks/1N2pfaKuMhPN67nFcn01aR,spotify:track:1N2pfaKuMhPN67nFcn01aR,https://api.spotify.com/v1/audio-analysis/1N2pfaKuMhPN67nFcn01aR
391,Break The News,The Who,0d3Y9yuUwnq3jHTPRyw3io,rock,0.345,0.6,270400.0,0.737,0.0017699999999999999,7.0,0.0907,-6.086,1.0,0.0257,105.0,4.0,0.47,https://api.spotify.com/v1/tracks/0d3Y9yuUwnq3jHTPRyw3io,spotify:track:0d3Y9yuUwnq3jHTPRyw3io,https://api.spotify.com/v1/audio-analysis/0d3Y9yuUwnq3jHTPRyw3io
392,Behind Blue Eyes,The Who,0cKk8BKEi7zXbdrYdyqBP5,rock,0.213,0.39399999999999996,221427.0,0.622,4.45e-05,4.0,0.0892,-8.258,0.0,0.0336,126.844,4.0,0.342,https://api.spotify.com/v1/tracks/0cKk8BKEi7zXbdrYdyqBP5,spotify:track:0cKk8BKEi7zXbdrYdyqBP5,https://api.spotify.com/v1/audio-analysis/0cKk8BKEi7zXbdrYdyqBP5
393,Wonderboy,The Kinks,3jB2lwEt5uWUJR2qg0E1Kv,rock,0.127,0.5579999999999999,169187.0,0.716,0.0,7.0,0.158,-5.778,1.0,0.0294,117.98,4.0,0.883,https://api.spotify.com/v1/tracks/3jB2lwEt5uWUJR2qg0E1Kv,spotify:track:3jB2lwEt5uWUJR2qg0E1Kv,https://api.spotify.com/v1/audio-analysis/3jB2lwEt5uWUJR2qg0E1Kv
394,I Gotta Move,The Kinks,5shGy5Jr3tuiNlDRm55UB1,rock,0.242,0.61,142374.0,0.889,0.000392,5.0,0.29100000000000004,-7.357,1.0,0.0316,103.705,4.0,0.973,https://api.spotify.com/v1/tracks/5shGy5Jr3tuiNlDRm55UB1,spotify:track:5shGy5Jr3tuiNlDRm55UB1,https://api.spotify.com/v1/audio-analysis/5shGy5Jr3tuiNlDRm55UB1
